tokens	ner_tags
['<strong>', 'Effective', 'Date:', 'May', '7,', '2015', '</strong>', '<br>', '<br>', '<strong>', 'Kraft', 'Site', 'Privacy', 'Notice', '</strong>', '<br>', '<br>', 'This', 'website', 'is', 'owned', 'and', 'operated', 'by', 'Kraft', 'Foods', 'Group,', 'Inc.', 'At', 'Kraft,', 'we', 'recognize', 'that', 'visitors', 'to', 'our', 'site', 'may', 'be', 'concerned', 'about', 'the', 'information', 'they', 'provide', 'to', 'us', 'and', 'how', 'we', 'handle', 'that', 'information.', 'This', 'Privacy', 'Notice', 'describes', 'the', 'types', 'of', 'information', 'we', 'collect', 'from', 'and', 'about', 'you', 'when', 'you', 'visit', 'this', 'website', '(and', 'the', 'mobile', 'optimized', 'version', 'of', 'this', 'website),', 'how', 'we', 'may', 'use', 'and', 'disclose', 'such', 'information,', 'and', 'your', 'ability', 'to', 'control', 'certain', 'uses', 'of', 'it.', '<br>', '<br>']	['O', 'B-UNS', 'I-UNS', 'I-UNS', 'I-UNS', 'I-UNS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Account', 'and', 'Service-Related', 'Email.', 'SIDEARM', 'Sports', 'reserves', 'the', 'right', 'to', 'send', 'you', 'email', 'relating', 'to', 'your', 'account', 'status.', 'This', 'includes', 'order', 'confirmations,', 'renewal/expiration', 'notices,', 'notices', 'of', 'credit-card', 'problems,', 'other', 'transactional', 'emails', 'and', 'notifications', 'about', 'major', 'changes', 'to', 'the', 'SIDEARM', 'Services', 'and/or', 'to', 'our', 'Privacy', 'Policy.', 'If', 'you', 'have', 'registered', 'for', 'online', 'discussions', 'or', 'other', 'services,', 'you', 'may', 'receive', 'email', 'specific', 'to', 'your', 'participation', 'in', 'those', 'activities.', '<br>', '<br>']	['B-NONE', 'I-NONE', 'I-NONE', 'I-NONE', 'I-NONE', 'I-NONE', 'I-NONE', 'I-NONE', 'I-NONE', 'I-NONE', 'I-NONE', 'I-NONE', 'I-NONE', 'I-NONE', 'I-NONE', 'I-NONE', 'I-NONE', 'I-NONE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Changes', 'to', 'This', 'Policy', '<br>', '<br>', 'This', 'Privacy', 'Policy', 'may', 'be', 'amended', 'from', 'time', 'to', 'time.', 'Any', 'such', 'changes', 'will', 'be', 'posted', 'on', 'this', 'page.', 'If', 'we', 'make', 'a', 'significant', 'or', 'material', 'change', 'in', 'the', 'way', 'we', 'use', 'your', 'personal', 'information,', 'the', 'change', 'will', 'be', 'posted', 'on', 'this', 'page', 'thirty', '(30)', 'days', 'prior', 'to', 'taking', 'effect', 'and', 'registered', 'users', 'will', 'be', 'notified', 'via', 'email.', '<br>', '<br>']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-OPO', 'I-OPO', 'I-OPO', 'I-OPO', 'I-OPO', 'I-OPO', 'I-OPO', 'I-OPO', 'I-OPO', 'I-OPO', 'I-OPO', 'I-OPO', 'I-OPO', 'I-OPO', 'I-OPO', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['This', 'privacy', 'policy', 'may', 'be', 'modified', 'from', 'time', 'to', 'time.', 'If', 'we', 'decide', 'to', 'change', 'our', 'privacy', 'policy,', 'we', 'will', 'post', 'those', 'changes', 'to', 'this', 'privacy', 'policy', 'and', 'other', 'places', 'we', 'deem', 'appropriate.', 'We', 'reserve', 'the', 'right', 'to', 'modify', 'this', 'privacy', 'policy', 'at', 'any', 'time,', 'so', 'please', 'periodically', 'review', 'it.', '<br>', '<br>']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-UNS', 'I-UNS', 'I-UNS', 'I-UNS', 'I-UNS', 'I-UNS', 'I-UNS', 'I-UNS', 'I-UNS', 'I-UNS', 'I-UNS', 'I-UNS', 'I-UNS', 'I-UNS', 'I-UNS', 'I-UNS', 'I-UNS', 'O', 'O']
['If,', 'at', 'anytime', 'in', 'the', 'future,', 'Tulsaworld.com', 'decides', 'to', 'use', 'information', 'provided', 'by', 'you', 'in', 'a', 'way', 'not', 'described', 'here,', 'we', 'will', 'contact', 'you', 'beforehand', 'to', 'explain', 'the', 'use', 'of', 'the', 'information', 'and', 'give', 'you', 'the', 'opportunity', 'to', 'decline', 'that', 'use.', '<br>', '<br>']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-OPO', 'I-OPO', 'I-OPO', 'I-OPO', 'I-OPO', 'I-OPO', 'I-OPO', 'I-OPO', 'I-OPO', 'O', 'O']
"['<strong>', 'Our', 'Privacy', 'Commitment', '</strong>', '<br>', '<br>', 'Welcome', 'to', 'Curse!', 'Curse,', 'Inc.', '&', 'Curse,', 'Ltd.', '(""Curse,""', '""we,""', '""us""', 'or', '""our"")', 'is', 'committed', 'to', 'respecting', 'the', 'privacy', 'rights', 'and', 'concerns', 'of', 'all', 'users', 'of', 'the', 'Curse', 'www.curse.com', 'websites', 'where', 'this', 'Privacy', 'Policy', 'is', 'posted', '(the', '""Site(s)"")', '(we', 'refer', 'to', 'the', 'Site(s),', 'the', 'services', 'and', 'software', 'made', 'available', 'through', 'the', 'Site(s),', 'collectively,', 'as', 'the', '""Curse', 'Features"").', 'As', 'such,', 'we', 'have', 'established', 'and', 'implemented', 'this', 'Privacy', 'Policy', 'to', 'inform', 'visitors', 'to', 'the', 'Site(s)', 'and', 'users', 'of', 'the', 'Curse', 'Features', 'how', 'we', 'use', 'and', 'protect', 'the', 'information', 'we', 'collect', 'through', 'the', 'Site(s).', 'By', 'visiting', 'the', 'Site(s)', 'or', 'using', 'any', 'of', 'the', 'Curse', 'Features,', 'you', 'consent', 'to', ""Curse'"", 'collection,', 'use,', 'storage,', 'deletion', 'and', 'disclosure', 'of', 'information', 'relating', 'to', 'you', 'as', 'set', 'forth', 'in', 'this', 'Privacy', 'Policy.', 'This', 'Privacy', 'Policy', 'is', 'effective', 'as', 'of', 'the', 'date', 'set', 'forth', 'above', 'and', 'is', 'only', 'applicable', 'to', 'the', 'Site(s)', 'and', 'not', 'to', 'any', 'other', 'website', 'that', 'you', 'may', 'be', 'able', 'to', 'access', 'from', 'the', 'Site(s)', 'which', 'may', 'have', 'its', 'own', 'data', 'collection', 'and', 'use', 'practices', 'and', 'policies.', '<br>', '<br>']"	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-USER', 'I-USER', 'I-USER', 'I-USER', 'I-USER', 'I-USER', 'I-USER', 'I-USER', 'I-USER', 'I-USER', 'I-USER', 'I-USER', 'I-USER', 'I-USER', 'I-USER', 'I-USER', 'I-USER', 'I-USER', 'I-USER', 'I-USER', 'I-USER', 'I-USER', 'I-USER', 'I-USER', 'I-USER', 'I-USER', 'I-USER', 'I-USER', 'I-USER', 'I-USER', 'I-USER', 'I-USER', 'I-USER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Your', 'acceptance', 'of', 'the', 'privacy', 'policy', 'and', 'notification', 'of', 'changes', 'to', 'the', 'policy', '<br>', '<br>', 'By', 'using', 'this', 'Website,', 'you', 'signify', 'your', 'agreement', 'to', 'the', 'terms', 'of', 'our', 'privacy', 'policy.', 'We', 'may', 'amend', 'this', 'privacy', 'policy', 'at', 'any', 'time.', 'If', 'we', 'make', 'a', 'material', 'change', 'to', 'the', 'way', 'in', 'which', 'we', 'collect,', 'use,', 'and/or', 'share', 'your', 'personal', 'information,', 'we', 'will', 'post', 'a', 'notice', 'on', 'our', 'website', 'and', '/', 'or', 'send', 'an', 'email', 'to', 'users', 'who', 'have', 'provided', 'an', 'email', 'address.', 'We', 'will', 'assume', 'that', 'you', 'have', 'given', 'your', 'permission', 'for', 'your', 'information', 'to', 'be', 'used', 'under', 'the', 'terms', 'of', 'the', 'new', 'privacy', 'policy,', 'if', 'you', 'do', 'not', 'respond', 'to', 'our', 'email', 'within', 'thirty', 'days', 'or', 'continue', 'to', 'use', 'the', 'Website', 'thirty', 'days', 'after', 'a', 'notice', 'is', 'posted.', 'Please', 'note', 'that', 'you', 'should', 'always', 'update', 'your', 'personal', 'information', 'to', 'provide', 'us', 'with', 'a', 'current', 'email', 'address.', '<br>', '<br>']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-OPO', 'I-OPO', 'I-OPO', 'I-OPO', 'I-OPO', 'I-OPO', 'I-OPO', 'I-OPO', 'I-OPO', 'I-OPO', 'I-OPO', 'I-OPO', 'I-OPO', 'I-OPO', 'I-OPO', 'I-OPO', 'I-OPO', 'I-OPO', 'I-OPO', 'I-OPO', 'I-OPO', 'I-OPO', 'I-OPO', 'I-OPO', 'I-OPO', 'I-OPO', 'I-OPO', 'I-OPO', 'I-OPO', 'I-OPO', 'I-OPO', 'I-OPO', 'I-OPO', 'I-OPO', 'I-OPO', 'I-OPO', 'I-OPO', 'I-OPO', 'I-OPO', 'I-OPO', 'I-OPO', 'I-OPO', 'I-OPO', 'I-OPO', 'I-OPO', 'I-OPO', 'I-OPO', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
"['<strong>', 'Changes', 'to', 'this', 'Privacy', 'Statement', '</strong>', '<br>', '<br>', 'If', 'a', 'material', 'change', 'is', 'made', 'to', 'this', 'Privacy', 'Statement', 'and/or', 'the', 'way', 'we', 'use', 'our', ""customers'"", 'personally', 'identifiable', 'information,', 'a', 'prominent', 'notice', 'of', 'the', 'nature', 'of', 'the', 'change', 'will', 'be', 'posted', 'on', 'this', 'Privacy', 'Statement', 'and', 'the', 'current', 'subscribers', 'will', 'be', 'notified', 'as', 'soon', 'as', 'possible.', '<br>', '<br>']"	['O', 'B-UNS', 'I-UNS', 'I-UNS', 'I-UNS', 'I-UNS', 'I-UNS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-UNS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-UNS', 'I-UNS', 'I-UNS', 'I-UNS', 'I-UNS', 'O', 'O', 'O', 'O', 'O', 'O', 'I-UNS', 'I-UNS', 'I-UNS', 'I-UNS', 'I-UNS', 'I-UNS', 'I-UNS', 'I-UNS', 'I-UNS', 'I-UNS', 'I-UNS', 'I-UNS', 'I-UNS', 'I-UNS', 'I-UNS', 'I-UNS', 'I-UNS', 'I-UNS', 'I-UNS', 'I-UNS', 'I-UNS', 'I-UNS', 'I-UNS', 'I-UNS', 'I-UNS', 'I-UNS', 'I-UNS', 'I-UNS', 'I-UNS', 'I-UNS', 'I-UNS', 'I-UNS', 'I-UNS', 'I-UNS', 'I-UNS', 'I-UNS', 'I-UNS', 'I-UNS', 'I-UNS', 'I-UNS']
['All', 'changes', 'will', 'become', 'effective', 'when', 'posted,', 'and', 'by', 'continuing', 'to', 'use', 'the', 'Site', 'following', 'the', 'posting', 'of', 'any', 'changes,', 'you', 'agree', 'to', 'be', 'bound', 'by', 'such', 'modified', 'Privacy', 'Statement.', '<br>', '<br>']	['B-NONE', 'I-NONE', 'I-NONE', 'I-NONE', 'I-NONE', 'I-NONE', 'I-NONE', 'I-NONE', 'I-NONE', 'I-NONE', 'I-NONE', 'I-NONE', 'I-NONE', 'I-NONE', 'I-NONE', 'I-NONE', 'I-NONE', 'I-NONE', 'I-NONE', 'I-NONE', 'I-NONE', 'I-NONE', 'I-NONE', 'I-NONE', 'I-NONE', 'I-NONE', 'I-NONE', 'I-NONE', 'I-NONE', 'I-NONE', 'O', 'O']
"['Penguin', 'Random', 'House', 'LLC', '(""PRH"",', '""we"",', '""us"",', 'or', '""our"")', 'respects', 'your', 'concerns', 'about', 'privacy', 'and', 'values', 'the', 'relationship', 'we', 'have', 'with', 'you.', 'This', 'Privacy', 'Policy', 'describes', 'our', 'privacy', 'practices', 'with', 'respect', 'to', 'information', 'collected', 'through', 'our', 'websites,', 'applications,', 'and', 'any', 'other', 'online', 'service', 'that', 'links', 'to', 'this', 'Privacy', 'Policy,', 'including', 'any', 'websites', 'and', 'online', 'services', 'we', 'operate', 'on', 'behalf', 'of', 'our', 'authors', '(collectively', 'referred', 'to', 'as', 'the', '""Sites"").', 'By', 'using', 'our', 'Sites,', 'you', 'are', 'accepting', 'the', 'practices', 'described', 'in', 'this', 'Privacy', 'Policy.', 'If', 'you', 'do', 'not', 'agree', 'to', 'the', 'terms', 'of', 'this', 'Privacy', 'Policy,', 'please', 'do', 'not', 'use', 'the', 'Sites.', 'We', 'reserve', 'the', 'right', 'to', 'modify', 'or', 'amend', 'the', 'terms', 'of', 'our', 'Privacy', 'Policy', 'from', 'time', 'to', 'time', 'without', 'notice.', 'Your', 'continued', 'use', 'of', 'our', 'Sites', 'following', 'the', 'posting', 'of', 'changes', 'to', 'these', 'terms', 'will', 'mean', 'you', 'accept', 'those', 'changes.', '<br>', '<br>']"	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-NONE', 'I-NONE', 'I-NONE', 'I-NONE', 'I-NONE', 'I-NONE', 'I-NONE', 'I-NONE', 'I-NONE', 'I-NONE', 'I-NONE', 'I-NONE', 'I-NONE', 'I-NONE', 'I-NONE', 'I-NONE', 'I-NONE', 'I-NONE', 'I-NONE', 'I-NONE', 'O', 'O']
